,163402,270002
2006-08-02,,
2006-08-03,,
2006-08-04,0.007743718382520415,0.014075479446271966
2006-08-07,0.0037560096844350133,0.0038148596509058885
2006-08-08,-0.0072270791906827725,-0.011293629250445303
2006-08-09,0.00473577325614738,0.0009620689652156678
2006-08-10,-0.0069102569923178425,-0.0077079329748055425
2006-08-11,-0.0024347071597516923,0.0013644726928081496
2006-08-14,0.011692622707428324,0.0065598750758938396
2006-08-15,-0.006431619385666165,-0.009807756359265118
2006-08-16,-0.0031032978967959757,-0.0054109199501637395
2006-08-17,0.003645334054056648,0.0010423721168766331
2006-08-18,0.002224558298674295,-0.00014139193369633318
2006-08-21,-0.022445925186883153,-0.025926891648369255
2006-08-22,-0.004253542017321088,0.0057994616717862435
2006-08-23,7.651938684016812e-06,-0.001284016956515921
2006-08-24,-0.0012096669058656584,-0.0021937579001862773
2006-08-25,-0.000826406052536699,0.00033853097112679364
2006-08-28,-0.010174333729026541,-0.003998690510077729
2006-08-29,0.00011169568195334989,0.012016052405774191
2006-08-30,0.01018542476259543,-0.004958485751479613
2006-08-31,-0.0019042312361943203,-0.0010258047073936627
2006-09-01,0.0032174652121864655,0.010716047138354168
2006-09-04,-0.0009912298968108857,-0.007532929124794974
2006-09-05,0.008270210620052953,-0.0017803323539864468
2006-09-06,-0.00405810848134347,-0.00564025598683815
2006-09-07,0.01038251258764944,0.007839065035518678
2006-09-08,0.0027493034019783202,-0.0008002040374954777
2006-09-11,0.0037715368656046078,-0.004671307704706695
2006-09-12,-0.004142333591552916,-0.0038308360125010044
2006-09-13,0.0019462038638723422,0.004843545898363
2006-09-14,-0.002167841684491356,0.0022150498974694566
2006-09-15,-0.009549690029506896,-0.011875810905010109
2006-09-18,-0.004513413426541879,5.476017232686203e-05
2006-09-19,0.004269587113027162,0.009702388066450629
2006-09-20,0.005977220884265666,0.00468647637303099
2006-09-21,0.004019766482324272,0.00030223594557998723
2006-09-22,0.008368986180930071,0.012942739010038617
2006-09-25,0.0010942928697995624,0.0010264595359700257
2006-09-26,0.001970187903036269,-0.00018189510764987649
2006-09-27,0.0006758109334885631,-0.008360654254437883
2006-09-28,0.000994139265388938,0.0024640493394278984
2006-09-29,-0.0008162671378351138,-0.003962164387575573
2006-09-30,,
