,270002
2005-08-02,
2005-08-03,
2005-08-04,0.004790404544454674
2005-08-05,-0.010003696888962299
2005-08-08,-0.006828763294247642
2005-08-09,-0.008233772523410732
2005-08-10,-0.004168301386797468
2005-08-11,0.006678691633559275
2005-08-12,0.00441298548214375
2005-08-15,-0.007938545132446073
2005-08-16,0.0019754176877982976
2005-08-17,-0.002383868670803535
2005-08-18,0.01622257707300956
2005-08-19,-0.005210222376046403
2005-08-22,-0.0021087678051256997
2005-08-23,0.007393967756971875
2005-08-24,-0.004881000503916155
2005-08-25,-0.0016843904541282706
2005-08-26,6.526940288942296e-05
2005-08-29,0.008202442296429635
2005-08-30,-3.946652898356717e-05
2005-08-31,-0.0039981338496108965
2005-09-01,-0.005046786368374301
2005-09-02,-0.0008431936635036053
2005-09-05,-0.0025931673163748226
2005-09-06,0.009734385452433436
2005-09-07,-0.006590402594268241
2005-09-08,0.003970271591793972
2005-09-09,0.003602671059772189
2005-09-12,0.00398113402971545
2005-09-13,-0.00021048367336740093
2005-09-14,-0.002471114161843646
2005-09-15,-2.4331516098929917e-05
2005-09-16,-0.0007463807310749138
2005-09-19,-0.007112008201684783
2005-09-20,0.003142072633840143
2005-09-21,0.009515671654192759
2005-09-22,0.008485729302794676
2005-09-23,0.005905714490208158
2005-09-26,-0.00030769595944590833
2005-09-27,0.011596498989716486
2005-09-28,-0.0002530847269006653
2005-09-29,-0.0016854561850465632
2005-09-30,0.0018649900676814823
